url,time_control,end_time,rated,tcn,uuid,initial_setup,fen,time_class,rules,white,black,player_color,opp_color,player_rating,opp_rating,winner
https://www.chess.com/game/live/32438356663,600,1638699979,True,mC5Qgv0SfA!Tbs9IsmTEegEnfnIngn8!lBZJCK1TAtQzkAztdtJAtAYQiyWGjz7PzHQHyHTKcuP7BK7JAJSJms6SuI96IB6AsmSEHPAkpxEvnv49vukAaGAzBIzCut96msCAsJAIJ0!106IG6R1SRXGHX7SK7QKRQBHPBLRKL2PU2NUotuopND3NuvpiDNiqvEqyEMyaxFagMVghVMhFMF,1c343404-55b4-11ec-8671-09ff3c010001,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/8/4k2N/7K/8/8/8 b - -,rapid,chess,"{'rating': 1026, 'result': 'insufficient', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}","{'rating': 1056, 'result': 'insufficient', '@id': 'https://api.chess.com/pub/player/mohammedarifmohammed', 'username': 'mohammedarifmohammed', 'uuid': '9f59595e-a754-11de-8020-000000000000'}",white,black,1026,1056,none
https://www.chess.com/game/live/32438980439,600,1638700763,True,mC0Kgv5Qbs9Rsm!TlBKBmBQBdBRKvK8!fAZRKv98At70vM3VnvVMcM0KMT2TBKRKec6SiyWGks80pF0ZFN!3oE47ckYQjzGzszZBks76yGQIzHIAtm6IdBKBsBIHmASABAHGAzGihcincsnmzHmnHPnjPYXHYPHzsYjnY13V1TVMTLMVvDzrLTV2TU23DLrjLTj~PQbCQRnlRICJIzJBzrltrkBskbtlU23V2Xskbaki,d2842637-55b5-11ec-8671-09ff3c010001,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/1R6/5P1k/7P/6P1/8/q2r4/K7 w - -,rapid,chess,"{'rating': 1019, 'result': 'checkmated', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}","{'rating': 1059, 'result': 'win', '@id': 'https://api.chess.com/pub/player/deripa', 'username': 'Deripa', 'uuid': '68c2e5b8-63a9-11eb-a8cc-fd133fd39cc1'}",white,black,1019,1059,black
https://www.chess.com/game/live/32525401332,600,1638786522,False,mCYQgvZJCK6ElB0SbsQIfm5QBI9IegWOpxEvmv!0fe0UsyIWcuUKuWKvdv4WyI8!ad7RIyXHyPRYvuJButYPkASKiqWYjzHAtA!?dbPHAr1TqyH5zHOHyHQGrzGAec96ckAPkY5YzGPAHPAGPY6Yb5,6a9b8361-567d-11ec-a30d-7b5e3a01000f,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1R5k/2r3pp/5p2/n3p3/3p4/7P/5PP1/6K1 b - -,rapid,chess,"{'rating': 1019, 'result': 'win', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}","{'rating': 1025, 'result': 'resigned', '@id': 'https://api.chess.com/pub/player/vilius_k', 'username': 'Vilius_K', 'uuid': '449642d6-89da-11e2-8058-000000000000'}",white,black,1019,1025,white
https://www.chess.com/game/live/32525946674,600,1638786808,False,mCYQgvZJCJQJlB5Qcu,c17f4015-567f-11ec-a30d-7b5e3a01000f,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r1bqkbnr/pp2pppp/2n5/3p4/3P4/4BN2/PPP2PPP/RN1QKB1R b KQkq -,rapid,chess,"{'rating': 1387, 'result': 'win', '@id': 'https://api.chess.com/pub/player/paulbismuthh', 'username': 'Paulbismuthh', 'uuid': 'db18b720-b4bf-11eb-af67-518328416a4a'}","{'rating': 1019, 'result': 'resigned', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}",black,white,1019,1387,white
https://www.chess.com/game/live/32526019430,600,1638787215,False,mCYQlBZJnv!TCKTZvD0Sgv5OfOXObsQIcu7GegGzabIBuB90iqzHsHOHdt6Oqy45ba0IyHOHtuHfgfIBvB54uw8!BQZIaW4WQWICwF94WQ4afmaiQ0!?0JSJF7,bbc5a498-567f-11ec-8790-0e6a7201000f,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3Q3k/5ppp/8/3pP3/4nP2/8/rPP1K1PP/8 b - -,rapid,chess,"{'rating': 1088, 'result': 'win', '@id': 'https://api.chess.com/pub/player/xskinner', 'username': 'xSkinner', 'uuid': '687b63aa-b51c-11ea-ade9-a9e9b3daccab'}","{'rating': 1019, 'result': 'checkmated', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}",black,white,1019,1088,white
https://www.chess.com/game/live/32526562486,600,1638787498,False,mC0Kgv!Tbs2UfA5Qlt92cM8!egXPiq6Xjz78zHQBsJ46vBYQHQXQBQ6QJT2TMTQTnvTDAH87qy7Fow,ecb4ff77-5680-11ec-8c84-15ea2301000f,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5rk1/p2p1p1p/1p4p1/1B2p3/P3Pr1q/3P1PP1/2P4P/R2Q1RK1 b - -,rapid,chess,"{'rating': 1019, 'result': 'win', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}","{'rating': 783, 'result': 'resigned', '@id': 'https://api.chess.com/pub/player/fahon', 'username': 'FAHON', 'uuid': '16edd314-a93c-11eb-b1b6-df5777bdcc19'}",white,black,1019,783,white
https://www.chess.com/game/live/32593172743,600,1638855009,True,mC0Kgv!TvK5QKQZQdv3NfA7Reg6SAtTEowNFfeFxtARKAS1SvE9IEU8ZU1ZRlt491U9nblnTghTUlAR0AKUTcD?9efIBDMBKMTKTfDTjD909abjsbX90XY0RYW2MWqslwESKq4RS4?le?xSTxVT2VQ,dd4db204-571c-11ec-8671-09ff3c010001,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/6k1/2R5/4p1p1/4P1P1/3P4/P1P4P/4b2K b - -,rapid,chess,"{'rating': 1015, 'result': 'win', '@id': 'https://api.chess.com/pub/player/ihsanalrozi', 'username': 'ihsanalrozi', 'uuid': 'fae0c866-150c-11eb-a7d8-2d33f38debb6'}","{'rating': 1011, 'result': 'resigned', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}",black,white,1011,1015,white
https://www.chess.com/game/live/32596735793,600,1638858231,True,ow0Kfo5QpxZJlt!Tks6LjzWOiy9RcjKCtB8!mu2UwELSdm78bl87nvOGzHQWvDW6DLULELSLgvLUvMYQM3!3HQXQab6PhgPyoCJCgU3UmoU3oMyjbj9!ML3?enRwnmwRlCTCLC!omtojCQ46Qv1TvN?!NU!9UV91V31S3CS1BJ78C3193V90V3073WTLWGRYGq8HsAjrqrHrtBYPBKruKL6AJRADLMuwMNDF,a48d379d-5724-11ec-8671-09ff3c010001,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3k4/8/1b1P4/7K/7r/6qP/8/8 w - -,rapid,chess,"{'rating': 1004, 'result': 'checkmated', '@id': 'https://api.chess.com/pub/player/pintilieluciansorin', 'username': 'pintilieluciansorin', 'uuid': '0faa4eb2-8218-11ea-aaf7-4bc1b86ea9d9'}","{'rating': 1019, 'result': 'win', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}",black,white,1019,1004,black
https://www.chess.com/game/live/32597349393,600,1638858793,True,mC0Kbs!TnD5QgvZJDKJCKTCvdvQBvC6Sft7TsJ86JT2Teg?!ks9IsB7BCBIBghSJtL67LxYIltXHcDIAtAJAfd!8dB70ae09DR92e8,426f7ffd-5726-11ec-8671-09ff3c010001,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4R3/p4pkp/3B1p2/1p6/2bR4/7B/PP4PP/7K b - -,rapid,chess,"{'rating': 1018, 'result': 'win', '@id': 'https://api.chess.com/pub/player/a1729a', 'username': 'A1729A', 'uuid': 'a7a6dc68-39b8-11ec-8fd7-f1f3f6bd9eb9'}","{'rating': 1011, 'result': 'resigned', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}",black,white,1011,1018,white
https://www.chess.com/game/live/32627993893,600,1638889453,True,mC0Kgv5Qbs9IfA3Veg!0sJ0JCJQ0ksZRlBKBsBIPcu8!feYIBIRIiqPGemWOJR0LuIXHAJ45qyLRyHGPIR7RaO6OHO97mlPGlt5jJ1!1tR7RvK1SnDRd,d085bcea-576d-11ec-8671-09ff3c010001,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/6p1/P3k2p/b3N3/5P2/8/1r4PP/3r2K1 w - -,rapid,chess,"{'rating': 1004, 'result': 'checkmated', '@id': 'https://api.chess.com/pub/player/tranfi20', 'username': 'tranfi20', 'uuid': 'b470a9e8-ee8c-11e9-99b0-d51333d5ffb4'}","{'rating': 1065, 'result': 'win', '@id': 'https://api.chess.com/pub/player/kuzia29', 'username': 'kuzia29', 'uuid': '966e14d2-5cc5-11eb-a784-b98bb3cd8254'}",white,black,1004,1065,black
